"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"38","7531","17","11","11","2","1059","0","0","0","0","0","0","0","0","0","570","0","0","0","0","0","0","0","0","0","0","0","0","376","0","95","0","361","0","0","123","0","16","367","30","2","4","129","88","420","75","438","197","313","198","304","47","459","158","355","129","380","83","421","86","426","155","348","364","0","115","0","361","109","359","119"
"38","7532","17","11","11","2","1044","0","0","0","0","0","0","0","0","0","705","0","0","0","0","0","0","0","0","0","0","0","0","511","0","86","0","506","0","0","114","0","2","549","13","7","10","108","112","512","123","506","268","369","271","327","72","542","254","374","101","535","89","542","145","487","156","459","498","0","108","0","500","107","508","109"
"38","7533","17","11","11","2","1202","0","0","0","0","0","0","0","0","0","667","0","0","0","0","0","0","0","0","0","0","0","0","403","0","133","0","397","0","0","166","0","13","425","13","6","7","171","106","460","129","445","246","344","208","350","61","499","159","422","179","389","100","471","139","464","213","345","396","0","147","0","379","161","385","169"
"38","7534","17","11","11","2","1014","0","0","0","0","0","0","0","0","0","606","0","0","0","0","0","0","0","0","0","0","0","0","393","0","86","0","403","0","0","113","0","5","406","9","6","12","149","103","413","98","418","241","296","171","333","50","450","143","387","128","393","85","431","123","412","168","332","403","0","101","0","377","110","386","119"
"38","7601","17","11","11","2","774","0","0","0","0","0","0","0","0","0","671","0","0","0","0","0","0","0","0","0","0","0","0","546","0","49","0","548","0","0","68","0","5","585","12","1","14","46","95","527","126","507","294","334","326","268","91","524","265","360","22","623","70","564","146","475","129","487","531","0","64","0","544","62","554","58"
"38","7602","17","11","11","2","1309","0","0","0","0","0","0","0","0","0","1016","0","0","0","0","0","0","0","0","0","0","0","0","810","0","99","0","786","0","0","160","0","6","849","19","7","15","103","162","783","212","744","488","450","444","458","133","798","362","574","74","892","135","817","239","687","245","688","802","0","117","0","799","117","812","114"
"38","7603","17","11","11","2","1206","0","0","0","0","0","0","0","0","0","978","0","0","0","0","0","0","0","0","0","0","0","0","752","0","120","0","712","0","0","182","0","4","801","19","10","9","117","161","743","229","688","420","477","361","505","147","726","273","623","79","848","119","795","224","666","250","634","721","0","159","0","745","153","762","151"
"38","7604","17","11","11","2","997","0","0","0","0","0","0","0","0","0","771","0","0","0","0","0","0","0","0","0","0","0","0","555","0","132","0","533","0","0","173","0","15","584","22","2","6","128","162","552","207","504","359","342","285","390","124","564","201","515","90","626","135","581","222","473","220","475","537","0","155","0","577","121","582","125"
"38","7605","17","11","11","2","860","0","0","0","0","0","0","0","0","0","608","0","0","0","0","0","0","0","0","0","0","0","0","434","0","112","0","426","0","0","120","0","6","474","13","1","9","95","113","457","128","441","244","319","291","258","93","462","247","318","81","492","97","471","143","420","165","393","427","0","121","0","446","106","450","102"
"38","7606","17","11","11","2","1066","0","0","0","0","0","0","0","0","0","646","0","0","0","0","0","0","0","0","0","0","0","0","485","0","102","0","452","0","0","144","0","7","466","20","1","15","124","118","483","139","463","277","316","244","333","73","515","187","408","116","493","116","486","148","451","191","408","468","0","128","0","478","114","475","124"
